Zipcode,Median Age,Population,Asian,Black,Hispanic,White,American Indian,Native Hawaaiian,Two or more races
78942,37.7,9033.0,135.0,960.0,3147.0,7208.0,0.0,0.0,146.0
78956,45.9,5685.0,22.0,385.0,1313.0,5199.0,0.0,0.0,58.0
78005,55.1,870.0,0.0,0.0,553.0,851.0,0.0,0.0,0.0
78013,40.9,7312.0,8.0,4.0,3097.0,6268.0,72.0,0.0,595.0
78201,37.0,48334.0,310.0,1356.0,40087.0,43467.0,385.0,0.0,839.0
78202,35.1,11453.0,55.0,3354.0,6925.0,5347.0,23.0,5.0,430.0
78211,34.4,32769.0,44.0,245.0,30943.0,27914.0,723.0,19.0,385.0
78230,36.4,45021.0,2260.0,2795.0,21546.0,36844.0,129.0,0.0,1460.0
78520,31.4,62490.0,237.0,305.0,57618.0,59823.0,220.0,16.0,276.0
78401,43.7,5265.0,15.0,419.0,3032.0,4653.0,0.0,0.0,67.0
78407,38.2,2704.0,0.0,694.0,1662.0,1976.0,0.0,0.0,9.0
78516,28.0,34990.0,0.0,49.0,31833.0,33348.0,0.0,0.0,367.0
78549,26.0,1010.0,0.0,0.0,997.0,937.0,0.0,0.0,0.0
78552,35.5,37948.0,813.0,543.0,29952.0,34245.0,55.0,8.0,625.0
78558,29.8,1021.0,0.0,0.0,1021.0,970.0,0.0,0.0,0.0
78559,34.6,13255.0,63.0,19.0,11914.0,12473.0,39.0,0.0,58.0
78161,52.7,651.0,21.0,11.0,216.0,576.0,0.0,0.0,14.0
78203,34.7,6180.0,28.0,1041.0,4645.0,3782.0,100.0,0.0,241.0
78210,36.5,37683.0,129.0,1757.0,31190.0,26578.0,248.0,26.0,1020.0
78213,34.4,44813.0,842.0,1783.0,31122.0,39423.0,159.0,55.0,981.0
78222,34.1,25227.0,420.0,4777.0,15232.0,17400.0,111.0,7.0,662.0
78234,20.6,4965.0,216.0,834.0,1375.0,3520.0,24.0,0.0,304.0
78250,34.3,61669.0,1633.0,2993.0,38737.0,50911.0,766.0,160.0,2439.0
78257,40.2,7538.0,473.0,541.0,2827.0,6256.0,26.0,0.0,94.0
78338,59.6,18.0,0.0,0.0,18.0,18.0,0.0,0.0,0.0
78343,39.3,4526.0,0.0,96.0,3303.0,4025.0,16.0,0.0,127.0
78355,28.5,7168.0,0.0,48.0,6596.0,6506.0,68.0,0.0,127.0
78380,35.4,24300.0,18.0,97.0,19193.0,23145.0,141.0,0.0,368.0
78390,36.0,5059.0,0.0,46.0,4008.0,4676.0,5.0,4.0,187.0
78402,56.8,236.0,0.0,19.0,46.0,217.0,0.0,0.0,0.0
78405,37.2,15059.0,6.0,543.0,13929.0,13884.0,49.0,0.0,180.0
78411,40.0,25987.0,309.0,984.0,16486.0,23905.0,161.0,0.0,379.0
78418,40.0,30312.0,1093.0,1039.0,8302.0,26756.0,276.0,0.0,607.0
78576,20.2,10600.0,0.0,0.0,10457.0,10353.0,0.0,0.0,0.0
78578,44.1,11772.0,97.0,13.0,8739.0,11480.0,20.0,0.0,66.0
78586,31.0,56692.0,16.0,169.0,53547.0,53288.0,19.0,11.0,607.0
79835,31.1,11184.0,60.0,101.0,10337.0,7931.0,0.0,0.0,128.0
79848,55.3,823.0,0.0,10.0,500.0,530.0,0.0,0.0,22.0
79902,38.7,20496.0,493.0,684.0,15837.0,15629.0,132.0,0.0,519.0
79904,28.9,33428.0,614.0,1889.0,25197.0,25517.0,90.0,0.0,1394.0
79847,28.7,153.0,0.0,0.0,0.0,153.0,0.0,0.0,0.0
79853,28.7,2621.0,0.0,0.0,2582.0,1455.0,0.0,0.0,6.0
79908,21.8,6422.0,270.0,955.0,1789.0,3568.0,72.0,18.0,833.0
79930,34.2,28277.0,320.0,1299.0,23852.0,23193.0,249.0,0.0,720.0
79003,51.8,185.0,3.0,0.0,0.0,182.0,0.0,0.0,0.0
79009,35.8,1754.0,33.0,18.0,1491.0,1661.0,13.0,0.0,0.0
79015,30.1,21925.0,263.0,490.0,3295.0,19859.0,76.0,64.0,783.0
79019,44.9,1871.0,0.0,5.0,149.0,1736.0,22.0,0.0,66.0
79024,38.3,380.0,0.0,0.0,50.0,366.0,8.0,0.0,2.0
79034,36.8,535.0,5.0,1.0,50.0,474.0,14.0,0.0,23.0
79035,32.5,5307.0,0.0,88.0,3486.0,4275.0,22.0,28.0,427.0
79056,47.3,56.0,0.0,1.0,10.0,50.0,0.0,0.0,4.0
79064,40.6,2495.0,0.0,37.0,1717.0,2364.0,18.0,0.0,70.0
79070,31.7,9851.0,26.0,82.0,5459.0,8634.0,92.0,0.0,278.0
79078,51.2,217.0,2.0,8.0,30.0,197.0,0.0,0.0,10.0
94607,35.8,26823.0,7288.0,8369.0,3587.0,7648.0,204.0,129.0,1414.0
94611,44.9,38975.0,5904.0,2435.0,2867.0,26556.0,180.0,252.0,3067.0
94709,28.8,11951.0,3323.0,224.0,1213.0,7347.0,62.0,42.0,649.0
94805,40.6,14188.0,2183.0,1951.0,4776.0,6629.0,14.0,35.0,848.0
94021,53.1,511.0,0.0,0.0,70.0,441.0,0.0,0.0,0.0
94022,47.8,19406.0,6026.0,129.0,641.0,12173.0,9.0,12.0,894.0
94123,34.0,25890.0,2693.0,295.0,1919.0,21577.0,50.0,25.0,826.0
94521,42.3,43281.0,5310.0,1084.0,7480.0,31982.0,87.0,154.0,2835.0
94587,38.4,74722.0,39885.0,3693.0,15108.0,15351.0,364.0,1252.0,4710.0
94060,49.2,926.0,21.0,3.0,181.0,656.0,0.0,0.0,21.0
94025,38.3,43392.0,6281.0,1616.0,7147.0,30141.0,252.0,699.0,2089.0
94963,40.3,404.0,0.0,0.0,16.0,404.0,0.0,0.0,0.0
94085,32.6,23223.0,9207.0,478.0,7202.0,8827.0,531.0,91.0,959.0
94158,34.4,8455.0,3331.0,105.0,1420.0,4151.0,98.0,0.0,304.0
94503,38.0,20276.0,7478.0,1574.0,5671.0,7741.0,181.0,119.0,1514.0
94505,41.7,16382.0,1068.0,793.0,2879.0,13175.0,168.0,32.0,791.0
94516,56.5,103.0,0.0,0.0,7.0,92.0,1.0,0.0,8.0
94528,71.9,384.0,0.0,0.0,0.0,384.0,0.0,0.0,0.0
94531,38.1,43022.0,7549.0,10211.0,11580.0,14824.0,243.0,807.0,3929.0
94534,40.9,39239.0,8268.0,4215.0,6946.0,20989.0,132.0,380.0,3205.0
94548,32.4,377.0,0.0,0.0,121.0,343.0,0.0,0.0,16.0
94551,37.0,47227.0,10278.0,975.0,10286.0,30408.0,162.0,119.0,3349.0
94573,29.2,36.0,0.0,0.0,24.0,36.0,0.0,0.0,0.0
94575,19.8,1178.0,174.0,51.0,323.0,688.0,14.0,29.0,176.0
94582,39.4,42576.0,25079.0,1038.0,2155.0,13485.0,54.0,99.0,2418.0
94597,39.0,23108.0,4118.0,489.0,2572.0,16360.0,80.0,117.0,1431.0
94613,19.6,855.0,247.0,29.0,253.0,407.0,0.0,3.0,91.0
94720,19.4,2845.0,1428.0,48.0,401.0,1087.0,23.0,7.0,138.0
94850,-666666666.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94957,49.1,1219.0,74.0,11.0,64.0,1087.0,0.0,0.0,42.0
95010,42.9,8856.0,319.0,58.0,1830.0,7746.0,22.0,15.0,655.0
95046,43.9,5918.0,241.0,69.0,2793.0,4760.0,13.0,35.0,288.0
95076,32.8,86905.0,2186.0,549.0,61327.0,50476.0,1102.0,81.0,2373.0
95117,35.1,30369.0,7905.0,2296.0,8528.0,15540.0,2.0,158.0,999.0
95118,38.9,32421.0,6628.0,611.0,6902.0,20277.0,65.0,106.0,2712.0
95122,33.8,56121.0,19899.0,837.0,32475.0,13500.0,196.0,621.0,1859.0
90010,37.1,3822.0,2491.0,229.0,370.0,811.0,36.0,36.0,172.0
90024,22.6,51627.0,14410.0,1282.0,6836.0,30716.0,112.0,102.0,3352.0
90025,34.0,46883.0,9499.0,2045.0,6614.0,29827.0,213.0,32.0,2853.0
90029,36.2,36668.0,6410.0,1313.0,19277.0,13143.0,99.0,105.0,894.0
90201,29.8,101965.0,600.0,1252.0,96154.0,80974.0,363.0,112.0,1401.0
90031,35.6,39916.0,9404.0,668.0,26410.0,12523.0,756.0,25.0,1364.0
90035,36.3,27272.0,2042.0,1770.0,2895.0,20663.0,8.0,36.0,1565.0
90063,31.9,53980.0,658.0,230.0,51677.0,21080.0,138.0,28.0,839.0
89010,51.6,514.0,0.0,11.0,154.0,495.0,8.0,0.0,0.0
89020,23.7,1435.0,0.0,0.0,1027.0,728.0,66.0,0.0,0.0
89025,31.7,1203.0,0.0,85.0,455.0,756.0,319.0,14.0,9.0
89124,50.7,1362.0,48.0,3.0,449.0,1188.0,85.0,0.0,35.0
89128,40.4,35666.0,3002.0,4930.0,9385.0,22971.0,532.0,201.0,1716.0
89131,39.1,50564.0,2962.0,5179.0,8428.0,36682.0,94.0,364.0,3437.0
89143,34.5,13265.0,910.0,1390.0,2568.0,9330.0,23.0,26.0,1066.0
89148,34.8,55553.0,12763.0,5271.0,11074.0,29749.0,154.0,641.0,4173.0
89149,36.7,39613.0,2732.0,4851.0,6047.0,28230.0,174.0,221.0,2499.0
80127,43.8,45304.0,973.0,392.0,3743.0,42204.0,123.0,28.0,1343.0
80132,43.9,21286.0,515.0,369.0,1694.0,18917.0,126.0,0.0,958.0
80202,33.7,15287.0,972.0,527.0,1319.0,13136.0,70.0,0.0,428.0
80003,37.0,36480.0,1356.0,878.0,8872.0,31385.0,540.0,0.0,1088.0
80012,33.4,52588.0,2758.0,13443.0,16865.0,26998.0,685.0,152.0,2846.0
80216,30.4,13662.0,87.0,630.0,8582.0,10215.0,129.0,0.0,432.0
73450,45.2,1304.0,4.0,13.0,39.0,921.0,110.0,0.0,251.0
73455,45.0,611.0,0.0,0.0,10.0,387.0,75.0,0.0,144.0
73461,36.5,755.0,0.0,45.0,38.0,528.0,27.0,0.0,136.0
73481,40.3,954.0,4.0,53.0,24.0,745.0,72.0,3.0,57.0
73520,46.6,151.0,1.0,4.0,28.0,127.0,3.0,0.0,2.0
73531,43.7,345.0,0.0,5.0,15.0,316.0,3.0,0.0,21.0
73559,28.3,593.0,0.0,4.0,91.0,493.0,4.0,0.0,67.0
73564,48.8,433.0,0.0,7.0,44.0,385.0,9.0,0.0,20.0
77485,38.3,4627.0,13.0,365.0,1494.0,3492.0,15.0,0.0,49.0
77502,30.7,38199.0,277.0,658.0,31595.0,34102.0,312.0,0.0,1229.0
77547,27.3,9925.0,0.0,1019.0,8064.0,7757.0,103.0,0.0,83.0
77597,30.0,986.0,0.0,155.0,57.0,726.0,0.0,0.0,105.0
77629,46.3,786.0,0.0,77.0,134.0,709.0,0.0,0.0,0.0
77632,40.4,22903.0,701.0,1010.0,1172.0,20555.0,256.0,0.0,291.0
